# {"t_start": 1553555491.7579288, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,809,38.077745
-19.0,1054,91.697813
-21.0,823,133.719797
-21.0,821,179.56379
-21.0,879,226.418297
-21.0,819,264.297551
-19.0,1113,327.384408
-21.0,942,375.525983
-21.0,885,418.946697
-21.0,776,457.120914
-19.0,996,508.392319
-21.0,823,548.0956
-19.0,1229,609.297042
-20.0,1025,658.481897
-20.0,836,696.177945
-21.0,913,739.419117
-19.0,1202,800.349392
-20.0,951,844.017732
-21.0,848,886.597624
-20.0,1006,936.876909
-20.0,917,980.452876
-20.0,867,1024.556148
-21.0,969,1069.342948
-21.0,842,1113.902653
-20.0,975,1158.478887
-20.0,840,1200.960183
-21.0,821,1238.344916
-21.0,818,1282.359531
-20.0,868,1322.310034
-21.0,851,1364.888824
-20.0,977,1413.613325
-20.0,839,1451.126317
-21.0,833,1493.455503
-21.0,842,1531.117654
-21.0,824,1573.374617
-19.0,978,1618.633885
-20.0,882,1661.628658
-21.0,940,1705.067128
-20.0,919,1754.91714
-20.0,1012,1804.244449
-19.0,1023,1853.457726
-21.0,946,1896.959747
-21.0,961,1940.742808
-19.0,910,1984.105549
-21.0,783,2025.985679
-21.0,853,2064.961837
-19.0,1001,2113.922783
-20.0,864,2156.685832
-18.0,1194,2212.545598
-19.0,1184,2268.151345
-21.0,967,2316.784501
-20.0,958,2360.412655
-20.0,965,2408.900137
-21.0,839,2446.576742
-19.0,965,2494.948371
-21.0,839,2532.606545
-20.0,980,2581.506663
-20.0,886,2624.490914
-18.0,1053,2674.002614
-19.0,985,2722.836734
-20.0,918,2765.967973
-20.0,952,2809.315833
-18.0,1212,2869.94421
-20.0,1058,2919.406854
-20.0,1002,2968.421023
-17.0,1339,3030.595706
-18.0,1105,3085.43665
-17.0,1154,3140.680035
-18.0,1241,3201.616016
-18.0,1355,3263.659322
-20.0,962,3312.122713
-21.0,943,3355.416732
-21.0,1020,3404.258782
-17.0,1363,3471.410127
-16.0,1433,3539.154491
-19.0,1281,3600.595253
-14.0,1531,3674.030779
-19.0,1259,3735.135998
-19.0,1046,3784.554361
-20.0,1288,3846.03664
-18.0,1122,3900.936943
-18.0,1095,3950.701637
-19.0,1204,4011.262464
