# {"t_start": 1553555491.748419, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,841,38.485203
-21.0,943,84.569915
-21.0,901,133.696342
-21.0,850,179.911499
-21.0,842,226.285693
-21.0,805,264.04827
-21.0,883,313.164847
-21.0,780,354.463797
-21.0,819,394.267953
-20.0,836,437.916324
-21.0,819,476.034772
-21.0,883,522.14146
-20.0,1129,578.410577
-20.0,959,622.214956
-21.0,781,659.26276
-20.0,961,707.958301
-21.0,1026,757.455008
-21.0,1020,806.62872
-19.0,1203,862.494676
-21.0,819,904.786572
-21.0,852,944.159737
-21.0,764,980.955141
-21.0,941,1030.872175
-20.0,919,1075.018597
-21.0,817,1114.383904
-21.0,846,1157.577627
-20.0,900,1200.725969
-21.0,818,1238.075513
-20.0,896,1283.04921
-21.0,816,1322.321188
-21.0,879,1365.194802
-21.0,763,1401.953001
-20.0,1226,1462.998857
-20.0,860,1500.540999
-21.0,792,1542.58974
-21.0,787,1579.627799
-20.0,866,1618.955502
-20.0,955,1667.489811
-19.0,958,1711.168573
-21.0,901,1755.985251
-21.0,845,1798.683237
-19.0,1223,1859.769084
-21.0,838,1897.251288
-21.0,879,1940.137852
-20.0,832,1977.890126
-21.0,815,2020.022663
-19.0,1026,2070.644411
-21.0,929,2113.931934
-20.0,955,2157.56205
-21.0,954,2206.082738
-20.0,1005,2255.154616
-21.0,872,2297.946835
-21.0,887,2335.921558
-20.0,963,2384.511716
-21.0,885,2427.452858
-21.0,836,2465.037634
-20.0,986,2513.648175
-21.0,1015,2562.908628
-18.0,1309,2624.765596
-20.0,1002,2673.751594
-20.0,1009,2722.807608
-20.0,837,2760.331108
-20.0,990,2808.871865
-19.0,943,2852.249078
-17.0,1260,2913.401658
-21.0,842,2955.987307
-19.0,1166,3011.480003
-19.0,1023,3060.774148
-20.0,1069,3110.26911
-19.0,1217,3170.996105
-17.0,1279,3232.401876
-20.0,1201,3287.792049
-21.0,937,3331.189523
-21.0,867,3373.81747
-20.0,997,3422.610074
-16.0,1570,3496.402339
-21.0,1083,3551.029505
-17.0,1378,3613.400777
-20.0,1091,3667.990556
-17.0,1287,3729.303536
-18.0,1342,3791.491151
-17.0,1656,3871.187165
-16.0,1347,3937.985744
-15.0,1712,4018.15679
