# {"t_start": 1553555491.7440119, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,959,44.862228
-21.0,878,91.384326
-21.0,808,133.257647
-21.0,939,180.488404
-20.0,916,232.52979
-21.0,990,279.135446
-21.0,819,327.248364
-21.0,822,369.235441
-21.0,822,407.059252
-20.0,854,451.017616
-21.0,879,494.947045
-21.0,929,541.902197
-20.0,986,590.950946
-21.0,822,628.41075
-21.0,824,670.854524
-20.0,960,714.577252
-20.0,837,757.301868
-18.0,1032,806.591654
-21.0,970,850.50982
-21.0,761,887.251839
-20.0,945,936.889426
-19.0,1051,986.704187
-17.0,1190,1044.556993
-21.0,821,1088.056691
-21.0,993,1133.79094
-20.0,842,1176.466084
-21.0,788,1213.492455
-21.0,820,1250.880233
-21.0,823,1296.59507
-21.0,824,1334.513511
-21.0,964,1382.981974
-20.0,915,1426.167562
-20.0,985,1475.039809
-21.0,879,1512.92076
-21.0,825,1555.065095
-21.0,862,1597.941229
-19.0,943,1642.854073
-20.0,879,1685.734333
-21.0,824,1723.201706
-20.0,962,1773.663016
-20.0,1076,1823.422764
-20.0,836,1865.906118
-20.0,840,1903.531216
-21.0,869,1946.343835
-21.0,822,1983.905969
-19.0,933,2032.198848
-21.0,788,2070.546295
-21.0,820,2107.958584
-21.0,849,2150.499846
-20.0,945,2193.961188
-21.0,942,2237.551226
-21.0,883,2280.455531
-20.0,990,2329.314915
-20.0,962,2377.821715
-21.0,841,2415.48293
-20.0,952,2463.934254
-21.0,873,2501.666925
-21.0,898,2544.81634
-20.0,934,2593.252222
-18.0,1221,2649.265094
-18.0,1096,2704.12792
-19.0,932,2747.54043
-19.0,1114,2802.12314
-19.0,1002,2846.112888
-19.0,980,2894.690185
-19.0,970,2943.470494
-18.0,1530,3017.203295
-18.0,1188,3072.963368
-13.0,1606,3147.254878
-20.0,1005,3196.110531
-19.0,1099,3250.837047
-18.0,1306,3312.394671
-18.0,1156,3367.496996
-19.0,1014,3416.327976
-20.0,916,3459.492675
-21.0,1080,3509.100775
-19.0,1033,3563.138707
-17.0,1513,3631.729054
-19.0,1208,3692.351062
-18.0,1405,3759.870077
-20.0,1096,3809.695981
-15.0,1577,3888.594777
-17.0,1279,3949.982007
-15.0,1460,4017.810606
