# {"t_start": 1553555491.7149386, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-19.0,966,44.991032
-20.0,1043,98.901036
-21.0,785,140.330116
-21.0,778,180.374024
-20.0,918,227.535166
-20.0,1052,285.57279
-20.0,835,328.236893
-20.0,839,375.078224
-21.0,908,418.752874
-20.0,899,463.188994
-21.0,820,502.183911
-21.0,822,547.375204
-21.0,912,590.72341
-20.0,904,633.959844
-21.0,823,671.47305
-19.0,1026,720.722167
-21.0,826,763.382289
-20.0,901,806.410244
-20.0,898,849.634784
-20.0,834,887.074893
-20.0,986,937.222577
-20.0,937,980.927419
-21.0,1081,1037.335242
-21.0,897,1081.33389
-20.0,838,1120.803729
-20.0,947,1164.900599
-21.0,790,1206.905619
-21.0,937,1250.325908
-21.0,819,1290.260253
-19.0,937,1340.03131
-19.0,933,1383.246823
-20.0,923,1426.546639
-20.0,953,1475.039014
-21.0,879,1512.916068
-21.0,912,1556.021878
-19.0,997,1605.926491
-21.0,786,1643.62251
-21.0,819,1685.858416
-21.0,879,1728.686951
-21.0,788,1767.651134
-21.0,789,1804.796971
-21.0,853,1847.419564
-20.0,840,1884.938112
-20.0,896,1928.123874
-20.0,832,1970.679686
-20.0,840,2008.218749
-20.0,837,2050.865462
-19.0,1053,2101.521234
-18.0,1246,2162.640108
-20.0,955,2206.298612
-19.0,1042,2255.751733
-21.0,1018,2304.884297
-21.0,868,2347.661724
-19.0,975,2391.362212
-21.0,791,2433.390113
-20.0,898,2476.362304
-19.0,1041,2525.586042
-18.0,1130,2580.890922
-18.0,1164,2636.343046
-21.0,1048,2685.855606
-19.0,1172,2741.399483
-18.0,1078,2790.847288
-19.0,1053,2845.014144
-20.0,1165,2900.344778
-21.0,811,2937.748624
-19.0,1071,2987.332967
-14.0,1718,3072.830523
-18.0,1320,3134.54113
-20.0,1008,3183.351992
-18.0,1452,3251.409879
-21.0,991,3299.981498
-19.0,1117,3354.839895
-20.0,835,3392.137124
-18.0,1213,3452.824863
-18.0,1131,3502.895261
-21.0,972,3551.564654
-18.0,1355,3618.594508
-18.0,1196,3674.191654
-18.0,1168,3729.494558
-19.0,1303,3791.215979
-20.0,1014,3840.252871
-19.0,1365,3907.22955
-18.0,1428,3974.951575
-17.0,1374,4042.098907
