# {"t_start": 1553555491.7126698, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,777,37.812843
-19.0,914,83.303522
-21.0,818,126.723006
-21.0,805,166.60441
-20.0,941,220.108529
-21.0,791,257.49483
-21.0,785,299.626577
-21.0,942,348.726788
-21.0,819,393.621927
-20.0,923,438.133659
-20.0,898,481.973356
-20.0,853,527.869663
-20.0,837,566.382501
-20.0,841,609.026313
-20.0,1202,664.994986
-19.0,973,713.711575
-21.0,853,751.716707
-21.0,879,794.542851
-20.0,1287,856.321558
-21.0,873,899.066984
-21.0,1005,949.739586
-18.0,1071,999.231848
-21.0,845,1043.933412
-21.0,863,1082.548793
-20.0,938,1133.072706
-21.0,943,1176.783606
-20.0,901,1219.75324
-20.0,861,1262.423548
-21.0,850,1303.964377
-20.0,877,1346.888578
-21.0,944,1395.15196
-21.0,757,1431.964216
-20.0,836,1469.522483
-19.0,965,1518.089917
-21.0,1058,1567.476775
-20.0,914,1612.074299
-21.0,850,1654.86558
-20.0,1168,1710.262544
-21.0,823,1749.007446
-20.0,918,1792.859784
-21.0,780,1829.881246
-21.0,776,1866.906059
-21.0,778,1903.950334
-20.0,838,1946.46358
-21.0,778,1983.587611
-20.0,842,2026.071491
-20.0,915,2070.537997
-21.0,776,2107.543167
-17.0,1182,2163.137329
-20.0,927,2206.569773
-21.0,810,2248.76827
-21.0,884,2286.789596
-18.0,1094,2341.55074
-19.0,947,2385.015946
-20.0,860,2427.719299
-20.0,1046,2477.0165
-20.0,1063,2526.531209
-20.0,1115,2581.679826
-19.0,1093,2636.433178
-20.0,1005,2685.474308
-20.0,1014,2729.696279
-20.0,943,2777.862034
-21.0,1033,2826.966507
-20.0,945,2870.37724
-17.0,1211,2931.135479
-18.0,1117,2981.224791
-20.0,1081,3036.023946
-18.0,1060,3085.539357
-18.0,1158,3140.815619
-18.0,1102,3195.469846
-20.0,1043,3244.786574
-17.0,1155,3299.815625
-21.0,1084,3349.442674
-20.0,1373,3416.499821
-18.0,1137,3471.642621
-21.0,906,3514.600458
-18.0,1362,3581.759209
-20.0,1019,3625.837941
-15.0,1325,3692.509941
-18.0,1283,3753.843639
-20.0,1063,3803.370325
-19.0,1403,3870.880352
-17.0,1389,3938.148986
-16.0,1473,4006.230762
