# {"t_start": 1553555491.7659583, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,873,38.82174
-21.0,865,83.886629
-21.0,821,127.209531
-21.0,823,172.34797
-21.0,879,220.138668
-20.0,1068,271.642683
-21.0,913,321.057471
-21.0,901,369.378151
-20.0,963,418.495801
-20.0,836,457.346437
-20.0,842,501.419512
-19.0,1057,553.996474
-21.0,816,591.495809
-21.0,791,633.570163
-21.0,884,671.699542
-20.0,836,714.145587
-21.0,996,763.430808
-21.0,871,801.248234
-20.0,887,844.33467
-21.0,939,892.697806
-21.0,759,929.904858
-20.0,991,975.000042
-20.0,921,1024.488913
-21.0,882,1063.423702
-18.0,1053,1120.110192
-20.0,836,1158.256749
-19.0,994,1207.167463
-21.0,842,1244.745327
-21.0,821,1289.400152
-21.0,849,1328.684508
-19.0,1049,1382.844143
-21.0,944,1426.360454
-21.0,843,1468.930851
-21.0,786,1505.827769
-20.0,884,1548.658735
-21.0,775,1585.618365
-19.0,1095,1637.002414
-21.0,854,1679.670457
-21.0,782,1716.70315
-21.0,819,1755.784825
-20.0,914,1799.198852
-20.0,989,1848.075516
-21.0,764,1884.839171
-20.0,838,1927.489883
-20.0,838,1965.14759
-21.0,824,2007.483902
-20.0,864,2045.487526
-21.0,823,2089.037474
-20.0,1131,2144.07937
-21.0,844,2181.68497
-20.0,894,2224.894448
-20.0,946,2268.380273
-20.0,979,2317.132188
-21.0,848,2359.696272
-19.0,1099,2409.483783
-21.0,890,2452.514746
-19.0,1048,2501.792343
-20.0,959,2550.441643
-21.0,913,2593.760778
-21.0,865,2636.466324
-19.0,1032,2685.74935
-19.0,1005,2734.794865
-21.0,896,2777.581572
-20.0,868,2815.375416
-19.0,1085,2869.811321
-19.0,952,2913.305916
-21.0,926,2956.754964
-19.0,927,3004.976349
-20.0,877,3047.965344
-17.0,1276,3104.387147
-20.0,1003,3153.279205
-20.0,1007,3202.185497
-20.0,1192,3257.70782
-19.0,1054,3311.951545
-18.0,1208,3367.622419
-18.0,1446,3435.309437
-16.0,1529,3508.851002
-18.0,1199,3569.490396
-18.0,1332,3631.369198
-20.0,1178,3686.789557
-20.0,1088,3741.355021
-21.0,1106,3791.38659
-19.0,1028,3840.526595
-20.0,1107,3895.272926
-17.0,1438,3962.994838
-17.0,1165,4018.308563
