# {"t_start": 1553555491.7456503, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,854,38.640264
-19.0,938,85.147918
-21.0,1002,140.297441
-21.0,878,186.935733
-20.0,870,232.956297
-20.0,926,278.834514
-21.0,786,321.236194
-21.0,822,368.589676
-21.0,823,406.498373
-20.0,837,450.305312
-18.0,1013,495.685948
-21.0,1184,559.854212
-20.0,1077,609.72473
-21.0,1029,658.95558
-21.0,823,701.430467
-21.0,933,745.030863
-20.0,832,782.592358
-21.0,943,831.04882
-21.0,929,874.471622
-20.0,1063,923.899777
-21.0,968,974.208429
-21.0,853,1012.934777
-21.0,879,1057.090298
-20.0,900,1102.178159
-21.0,1087,1157.75228
-18.0,1137,1212.95803
-20.0,898,1256.064667
-21.0,817,1296.90674
-21.0,824,1334.756227
-20.0,833,1376.995458
-21.0,793,1414.191966
-20.0,922,1457.462241
-20.0,978,1506.086608
-21.0,851,1548.562567
-21.0,940,1592.101858
-21.0,937,1636.948554
-20.0,830,1679.409847
-20.0,901,1722.544333
-20.0,835,1761.893365
-20.0,838,1804.449547
-21.0,879,1847.316619
-20.0,954,1890.873191
-21.0,1030,1940.237292
-21.0,818,1977.801883
-20.0,896,2020.811046
-20.0,877,2064.918689
-21.0,851,2107.611708
-19.0,1257,2168.814723
-21.0,796,2205.969181
-21.0,1018,2255.222604
-21.0,882,2298.104424
-21.0,803,2335.24285
-21.0,877,2378.094487
-21.0,808,2415.385778
-21.0,877,2458.219972
-21.0,957,2501.70705
-19.0,1020,2550.989908
-18.0,1208,2611.832298
-19.0,992,2655.804509
-19.0,927,2704.125488
-17.0,1145,2759.347043
-15.0,1547,2832.854986
-20.0,940,2876.226615
-21.0,1102,2931.01295
-19.0,1112,2981.058789
-19.0,932,3029.47078
-17.0,1255,3085.855168
-19.0,1032,3134.941621
-18.0,1111,3189.728429
-17.0,1198,3245.4501
-20.0,1141,3300.394017
-19.0,1248,3361.454589
-20.0,1156,3416.573099
-19.0,1158,3471.888477
-21.0,1079,3521.416741
-17.0,1480,3594.636158
-18.0,1098,3649.293867
-18.0,1294,3710.662642
-19.0,937,3754.027055
-18.0,1274,3815.443934
-20.0,1085,3865.073087
-20.0,986,3913.713173
-18.0,1287,3975.205138
-17.0,1344,4042.021443
