# {"t_start": 1553555491.7602656, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,936,44.568438
-20.0,859,85.194104
-21.0,851,133.281969
-21.0,783,172.947452
-20.0,917,221.002364
-20.0,943,271.142421
-20.0,838,313.999015
-21.0,821,360.889316
-21.0,823,400.24109
-20.0,842,444.122873
-21.0,846,482.406473
-20.0,901,528.903856
-20.0,1054,579.251674
-20.0,835,621.79525
-21.0,823,659.286354
-21.0,949,707.824837
-21.0,883,751.02392
-19.0,1129,801.205607
-20.0,883,844.250135
-20.0,924,892.494294
-20.0,980,937.707975
-19.0,1015,987.003607
-21.0,850,1031.155232
-20.0,1018,1081.471654
-20.0,926,1126.950208
-20.0,920,1170.539752
-20.0,883,1213.396762
-21.0,805,1250.650921
-20.0,842,1296.53367
-19.0,1094,1346.935918
-21.0,820,1389.055577
-21.0,1063,1438.661244
-21.0,1120,1493.558402
-21.0,912,1536.731897
-20.0,1051,1586.140286
-20.0,1040,1636.933645
-21.0,822,1679.286558
-20.0,944,1722.863848
-21.0,777,1761.59384
-21.0,909,1804.9289
-21.0,884,1847.819399
-20.0,956,1891.415374
-21.0,879,1934.36407
-20.0,838,1977.032902
-21.0,849,2014.624019
-20.0,843,2058.079001
-21.0,865,2101.255364
-20.0,867,2139.060333
-21.0,850,2181.607595
-20.0,987,2230.672194
-19.0,1120,2285.59586
-20.0,893,2323.746246
-21.0,817,2365.965952
-19.0,1021,2415.062119
-20.0,1014,2464.193207
-20.0,837,2501.530279
-20.0,870,2544.411806
-20.0,981,2593.341723
-19.0,918,2636.617977
-19.0,1095,2686.52184
-20.0,1158,2741.97019
-21.0,911,2784.84318
-20.0,1059,2839.062222
-20.0,1043,2888.269728
-17.0,1277,2949.835861
-20.0,909,2992.95348
-19.0,1025,3042.314919
-18.0,1032,3091.558026
-18.0,1170,3146.895567
-18.0,1270,3208.186019
-21.0,902,3251.143098
-21.0,836,3293.282051
-17.0,1165,3348.594016
-15.0,1397,3415.827039
-19.0,1391,3478.432255
-18.0,1074,3532.864458
-19.0,1173,3588.345189
-20.0,1174,3643.752849
-20.0,1147,3698.877948
-20.0,1002,3747.636897
-17.0,1631,3827.276517
-21.0,840,3864.689389
-18.0,1258,3925.821526
-21.0,960,3969.373109
-16.0,1444,4042.155779
