EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
nan,nan,0,0,2.3212296962738037,0,0.0,1.791171,-0.007108330726623535,0.0006509044,0.009165222,0.009165222
nan,nan,0,0,4.692644119262695,0,0.0,1.7909615,0.0057100653648376465,0.00044391557,0.003973866,0.003973866
1078.0,-20.0,1,1,7.134749174118042,1078,0.0,1.7911713,0.0058255791664123535,0.00029956002,0.004291786,0.004291786
1078.0,-20.0,0,1,9.53922438621521,1078,0.0,1.7902843,-0.002935647964477539,0.0005743095,0.0035475148,0.0035475148
1038.0,-20.5,1,2,11.914835691452026,2076,0.0,1.7896373,-0.002855658531188965,0.00032332022,0.0077503272,0.0077503272
991.0,-20.333333333333332,1,3,14.262426614761353,2973,0.0,1.7879536,0.002669095993041992,0.00043987163,0.005805156,0.005805156
991.0,-20.333333333333332,0,3,16.664326667785645,2973,0.0,1.7859212,0.005615711212158203,0.0009350358,0.0053004557,0.0053004557
971.0,-20.5,1,4,19.107720136642456,3884,0.0,1.7860848,-0.015558004379272461,0.00015807862,0.0041090045,0.0041090045
971.0,-20.5,0,4,21.624608516693115,3884,0.0,1.7832298,0.0005345344543457031,0.0005394209,0.0020032353,0.0020032353
1007.4,-20.0,1,5,23.887067317962646,5037,0.0,1.7806686,-0.0041806697845458984,0.0009988099,0.014291149,0.014291149
1007.4,-20.0,0,5,26.2592933177948,5037,0.0,1.7813952,0.006389796733856201,0.00033668173,0.0038490482,0.0038490482
969.5,-20.166666666666668,1,6,28.642614126205444,5817,0.0,1.7769905,0.0018417835235595703,0.0013243293,0.0026446893,0.0026446893
947.8571428571429,-20.285714285714285,1,7,31.096311569213867,6635,0.0,1.77575,-0.0054596662521362305,0.00013659151,0.0013106912,0.0013106912
947.8571428571429,-20.285714285714285,0,7,33.67832279205322,6635,0.0,1.7736194,0.0025843381881713867,0.0001004443,0.00014427677,0.00014427677
931.75,-20.375,1,8,36.09443950653076,7454,0.0,1.7742181,-0.0008929967880249023,0.00015439502,0.004136099,0.004136099
931.75,-20.375,0,8,38.46392202377319,7454,0.0,1.7793487,-0.0036115646362304688,0.000743508,0.007435315,0.007435315
918.6666666666666,-20.444444444444443,1,9,40.83601975440979,8268,0.0,1.7744296,0.008111298084259033,0.000704695,0.0034956,0.0034956
902.3,-20.5,1,10,43.30251502990723,9023,0.0,1.7741865,-0.004196286201477051,0.0003094455,0.0013732951,0.0013732951
902.3,-20.5,0,10,45.66000175476074,9023,0.0,1.7712004,0.0018683075904846191,0.000707639,0.0046926937,0.0046926937
889.0,-20.545454545454547,1,11,48.10176753997803,9779,0.0,1.769306,-0.003360271453857422,0.0014706912,0.0026089556,0.0026089556
889.0,-20.545454545454547,0,11,50.55581498146057,9779,0.0,1.763859,0.0006897449493408203,0.00025013686,0.002763255,0.002763255
897.4166666666666,-20.416666666666668,1,12,52.90788221359253,10769,0.0,1.7592707,-0.0007513761520385742,0.00040744903,0.0023854733,0.0023854733
891.4615384615385,-20.46153846153846,1,13,55.17190718650818,11589,0.0,1.7608335,0.005001842975616455,0.00062864926,0.009791279,0.009791279
891.4615384615385,-20.46153846153846,0,13,57.521727323532104,11589,0.0,1.750165,0.00033295154571533203,0.0010729877,0.0006864595,0.0006864595
881.7857142857143,-20.5,1,14,59.99011015892029,12345,0.0,1.7502112,-0.0017616748809814453,0.00015650145,0.0027181765,0.0027181765
875.4666666666667,-20.533333333333335,1,15,62.35446500778198,13132,0.0,1.758389,-0.0013707876205444336,0.0012060917,0.0060408385,0.0060408385
875.4666666666667,-20.533333333333335,0,15,64.80694651603699,13132,0.0,1.7543585,0.0021137595176696777,0.00039624656,0.0037686091,0.0037686091
868.25,-20.5625,1,16,67.19475054740906,13892,0.0,1.7512288,0.008435845375061035,0.0007206063,0.00061349245,0.00061349245
863.2941176470588,-20.58823529411765,1,17,69.5729558467865,14676,0.0,1.7420385,0.00433802604675293,0.00059955986,0.0076973652,0.0076973652
863.2941176470588,-20.58823529411765,0,17,72.0359148979187,14676,0.0,1.7505257,0.015924155712127686,0.00048193976,0.0011390724,0.0011390724
857.5555555555555,-20.61111111111111,1,18,74.42787265777588,15436,0.0,1.7379484,0.010384202003479004,0.0013135632,0.004620687,0.004620687
857.6315789473684,-20.57894736842105,1,19,76.81868743896484,16295,0.0,1.7404876,0.003487884998321533,0.0007430163,0.0024092088,0.0024092088
857.6315789473684,-20.57894736842105,0,19,79.1966142654419,16295,0.0,1.7448351,0.006773829460144043,0.0008302609,0.007920018,0.007920018
855.5,-20.6,1,20,81.67520546913147,17110,0.0,1.730615,0.010446429252624512,0.0012278892,0.0005276478,0.0005276478
855.5,-20.6,0,20,84.14822363853455,17110,0.0,1.727572,0.005491495132446289,0.0004510364,0.0012768772,0.0012768772
856.6190476190476,-20.571428571428573,1,21,86.62861371040344,17989,0.0,1.7251797,0.0077384114265441895,0.00018040233,0.0018660561,0.0018660561
852.2727272727273,-20.59090909090909,1,22,89.01370549201965,18750,0.0,1.7138572,0.003282606601715088,0.0005242218,0.0058999844,0.0058999844
852.2727272727273,-20.59090909090909,0,22,91.47473335266113,18750,0.0,1.7060338,0.009256720542907715,0.0005596599,0.0029037585,0.0029037585
848.3478260869565,-20.608695652173914,1,23,93.86221027374268,19512,0.0,1.7043514,0.009942412376403809,0.00040601566,0.0056781,0.0056781
844.5,-20.625,1,24,96.2291157245636,20268,0.0,1.7114124,0.008124291896820068,0.00041466334,0.005955738,0.005955738
