# {"t_start": 1553041069.542674, "env_id": "CartPole-v1"} 
r,l,t
28.0,28,18.444636
38.0,38,18.549541
8.0,8,18.57164
12.0,12,18.604675
29.0,29,18.681723
22.0,22,18.743413
25.0,25,18.812591
20.0,20,18.867497
34.0,34,18.964409
99.0,99,19.239193
12.0,12,19.272758
19.0,19,19.324627
26.0,26,19.39742
26.0,26,19.466909
30.0,30,19.547539
17.0,17,19.59379
78.0,78,19.809425
30.0,30,19.890381
19.0,19,19.940762
52.0,52,20.080162
19.0,19,20.131707
27.0,27,20.205313
26.0,26,20.279281
23.0,23,20.341377
22.0,22,20.404343
15.0,15,20.446459
16.0,16,20.491641
20.0,20,20.546556
94.0,94,20.803928
19.0,19,20.856224
47.0,47,20.98889
17.0,17,21.036372
12.0,12,21.07719
8.0,8,21.105973
27.0,27,21.20847
9.0,9,21.244987
19.0,19,21.314213
33.0,33,21.407282
36.0,36,21.520422
19.0,19,21.592866
23.0,23,21.680932
24.0,24,21.761634
18.0,18,21.813239
25.0,25,21.887289
18.0,18,21.93569
21.0,21,21.993435
12.0,12,22.026605
11.0,11,22.05737
28.0,28,22.133395
21.0,21,22.191429
16.0,16,22.233872
20.0,20,22.28868
58.0,58,22.447566
53.0,53,22.598161
11.0,11,22.629148
43.0,43,22.750468
34.0,34,22.848102
53.0,53,22.998418
18.0,18,23.049734
11.0,11,23.081754
31.0,31,23.171544
29.0,29,23.255687
14.0,14,23.297235
33.0,33,23.38863
13.0,13,23.425869
24.0,24,23.492865
25.0,25,23.563809
12.0,12,23.59571
9.0,9,23.620639
29.0,29,23.700227
32.0,32,23.784533
25.0,25,23.848681
19.0,19,23.900868
16.0,16,23.944387
57.0,57,24.0988
27.0,27,24.17017
18.0,18,24.216585
13.0,13,24.250046
14.0,14,24.286729
20.0,20,24.338646
30.0,30,24.420598
30.0,30,24.501519
29.0,29,24.580029
15.0,15,24.625686
11.0,11,24.655085
18.0,18,24.704376
24.0,24,24.769443
29.0,29,24.846758
30.0,30,24.926091
13.0,13,24.959438
12.0,12,24.991419
23.0,23,25.051796
22.0,22,25.111983
12.0,12,25.143323
18.0,18,25.189564
53.0,53,25.326945
10.0,10,25.353836
11.0,11,25.38384
11.0,11,25.413906
16.0,16,25.457282
15.0,15,25.497436
28.0,28,25.572248
34.0,34,25.664261
18.0,18,25.712796
12.0,12,25.746019
11.0,11,25.777053
15.0,15,25.817843
16.0,16,25.862756
26.0,26,25.938042
16.0,16,25.983749
12.0,12,26.018982
35.0,35,26.120792
16.0,16,26.168079
14.0,14,26.209538
15.0,15,26.251482
15.0,15,26.292648
18.0,18,26.344064
34.0,34,26.440316
17.0,17,26.489548
14.0,14,26.529304
25.0,25,26.601573
27.0,27,26.679375
23.0,23,26.746856
35.0,35,26.846995
14.0,14,26.887418
28.0,28,26.967489
19.0,19,27.021565
18.0,18,27.073091
12.0,12,27.107462
17.0,17,27.155589
21.0,21,27.220366
20.0,20,27.277474
26.0,26,27.357421
27.0,27,27.440807
19.0,19,27.496893
13.0,13,27.531462
30.0,30,27.616348
19.0,19,27.708626
15.0,15,27.750865
10.0,10,27.778782
23.0,23,27.844
18.0,18,27.893039
19.0,19,27.944396
11.0,11,27.973819
68.0,68,28.1562
15.0,15,28.196643
17.0,17,28.242752
45.0,45,28.365658
20.0,20,28.421854
19.0,19,28.476399
16.0,16,28.527346
17.0,17,28.575391
19.0,19,28.628804
15.0,15,28.669555
38.0,38,28.770309
13.0,13,28.804557
21.0,21,28.859463
12.0,12,28.891102
36.0,36,28.986451
25.0,25,29.061488
12.0,12,29.098378
16.0,16,29.141948
24.0,24,29.210502
11.0,11,29.241124
34.0,34,29.330755
9.0,9,29.355263
26.0,26,29.425595
16.0,16,29.474372
