# {"t_start": 1553074621.0681183, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,865,17.300202
-21.0,1119,36.701598
-21.0,758,49.478942
-20.0,916,64.91041
-21.0,761,77.705391
-19.0,1090,95.08511
-20.0,959,112.500707
-18.0,1250,134.034587
-21.0,894,148.803186
-20.0,902,163.687433
-21.0,852,176.680308
-21.0,759,189.651407
-21.0,758,202.148402
-21.0,761,214.879208
-21.0,764,227.683008
-21.0,762,240.697686
-21.0,760,253.710975
-21.0,764,266.710559
-21.0,760,279.455923
-21.0,758,292.058619
-21.0,760,304.818991
-21.0,762,317.856874
-21.0,762,328.990711
-20.0,832,343.602196
-20.0,881,358.61626
-21.0,950,373.565971
-20.0,1010,390.713127
-20.0,919,405.613115
-20.0,917,420.585278
-19.0,1009,437.684077
-21.0,817,452.250512
-21.0,911,467.019022
-21.0,823,480.028244
-21.0,820,494.918746
-20.0,868,507.897731
-20.0,1031,524.706605
-20.0,839,539.689414
-20.0,841,553.205406
-18.0,1018,570.471642
-21.0,823,585.172972
-21.0,900,600.17452
-21.0,821,613.037315
-21.0,809,627.610826
-20.0,954,643.160089
-21.0,791,655.884625
-20.0,1122,674.638241
-20.0,837,687.776298
-21.0,776,700.536914
-20.0,860,715.144281
-21.0,789,728.037272
-21.0,879,743.253077
-21.0,989,760.107241
-20.0,833,773.059484
-21.0,1000,789.989769
-21.0,818,804.769852
-21.0,805,817.625688
-20.0,917,832.656524
-20.0,903,847.480571
-18.0,1159,866.397018
-21.0,811,879.423662
-19.0,987,896.368768
-21.0,823,909.545334
-20.0,837,924.38403
-20.0,836,937.615383
-21.0,789,951.999939
-20.0,1060,969.255118
-20.0,931,984.485816
-21.0,913,999.61836
-21.0,761,1012.245409
-19.0,1113,1031.699785
-19.0,1095,1049.176311
-19.0,1002,1065.875466
-20.0,842,1080.303961
-17.0,1137,1099.314199
-20.0,1009,1116.109233
-18.0,1032,1133.060789
-17.0,1219,1152.688684
-21.0,923,1167.708674
-19.0,1013,1184.67561
-19.0,1250,1205.62938
-18.0,1065,1222.641006
-15.0,1369,1245.801428
-18.0,995,1262.537622
-16.0,1376,1284.592638
-17.0,1383,1307.735698
-19.0,1207,1328.744581
-16.0,1493,1352.461092
-17.0,1230,1373.615766
-14.0,1515,1399.126301
-19.0,1063,1416.227875
-19.0,1332,1438.319139
-19.0,1297,1459.635712
-14.0,1731,1489.40274
-12.0,1816,1519.793513
-20.0,1348,1542.757911
-16.0,1464,1566.621452
-9.0,2084,1600.653688
-8.0,2073,1636.609887
-5.0,2284,1673.717243
-21.0,1169,1693.076529
-19.0,1513,1718.368002
-6.0,2351,1758.382778
-20.0,1431,1781.922457
-18.0,1661,1809.604637
-11.0,1951,1841.616484
-14.0,1788,1871.302256
-17.0,1636,1899.211432
-19.0,1545,1924.586632
-19.0,1518,1949.899317
-3.0,2644,1992.851135
-19.0,1431,2016.248089
-7.0,2347,2056.485528
-17.0,1639,2083.571932
-10.0,2073,2117.74432
-7.0,2174,2153.455499
-13.0,1686,2181.059359
-7.0,2384,2219.630145
-8.0,2345,2259.850911
-11.0,1858,2290.09083
-10.0,1991,2323.716216
-6.0,2222,2360.735932
-6.0,2473,2401.58424
-2.0,2686,2446.993521
-7.0,2459,2488.848034
-12.0,1857,2518.442819
-10.0,2347,2557.042703
-9.0,2216,2595.317648
-10.0,2272,2631.645674
-4.0,2463,2673.598303
-4.0,2561,2715.896706
-4.0,2460,2756.763887
4.0,2593,2799.725084
-9.0,2161,2836.061268
-10.0,1975,2867.972766
-9.0,2072,2903.323452
-3.0,2569,2945.474962
9.0,2293,2982.317434
3.0,2580,3026.17574
3.0,2651,3069.044746
-1.0,2696,3113.468252
1.0,2751,3159.792313
-1.0,2954,3208.559086
-8.0,2299,3247.135018
-6.0,2428,3287.831915
-7.0,2287,3326.063807
3.0,2635,3368.476655
-8.0,2284,3406.331804
-4.0,2592,3448.632474
-2.0,2623,3492.76995
-5.0,2529,3535.074698
-8.0,2373,3573.320708
-6.0,2449,3613.968154
2.0,2806,3661.202676
-10.0,2244,3699.13001
-6.0,2426,3739.411361
-8.0,2389,3778.307958
-5.0,2600,3820.865122
-2.0,2766,3867.469683
-7.0,2394,3907.670915
-8.0,2244,3944.351564
-8.0,2205,3981.680853
-9.0,2176,4017.488758
2.0,2905,4066.155513
-10.0,2149,4102.26994
-3.0,2804,4149.008183
