# {"t_start": 1553074621.0683935, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,1002,19.625177
-19.0,1064,38.645877
-21.0,849,51.769836
-19.0,996,69.221306
-21.0,759,81.861125
-20.0,974,97.344999
-21.0,896,112.881168
-20.0,1018,130.177082
-19.0,1062,148.843457
-20.0,835,161.850063
-19.0,1132,180.949322
-21.0,761,193.693555
-21.0,758,206.253744
-21.0,761,219.115864
-21.0,758,231.736978
-21.0,761,244.957643
-21.0,759,257.959712
-21.0,760,269.277537
-21.0,761,281.917963
-21.0,759,294.527208
-21.0,763,307.419278
-21.0,822,322.145553
-21.0,824,335.302095
-21.0,883,350.073741
-21.0,908,365.104292
-16.0,1232,386.267681
-21.0,840,399.267685
-21.0,871,413.993794
-21.0,822,426.869581
-21.0,764,439.953837
-20.0,1052,458.491961
-21.0,962,473.657471
-20.0,1111,492.833219
-21.0,789,505.577355
-19.0,1070,522.542861
-21.0,777,535.548989
-21.0,808,550.555561
-21.0,908,565.831136
-21.0,821,578.771751
-18.0,1250,600.160371
-20.0,869,614.848086
-20.0,919,629.842162
-19.0,972,645.457924
-21.0,788,658.150043
-21.0,929,674.540363
-21.0,788,687.447738
-21.0,823,700.42841
-20.0,836,714.930313
-20.0,839,728.063826
-21.0,842,743.097432
-20.0,1025,760.127121
-19.0,1079,777.216765
-20.0,880,792.147379
-20.0,872,807.177082
-20.0,876,821.862155
-20.0,968,837.082875
-20.0,898,851.898514
-18.0,991,868.528093
-19.0,1048,885.706639
-19.0,939,902.76012
-21.0,791,915.458073
-20.0,858,928.977371
-20.0,836,943.656461
-20.0,839,956.657935
-21.0,823,971.352431
-20.0,894,986.474481
-20.0,1034,1003.651722
-20.0,836,1016.556535
-21.0,909,1032.101339
-21.0,857,1046.756822
-18.0,1026,1063.724789
-21.0,795,1076.399022
-19.0,1034,1093.392569
-20.0,1036,1110.282493
-19.0,1051,1128.921168
-19.0,1023,1145.992163
-17.0,1299,1167.441869
-20.0,1009,1184.330511
-19.0,1074,1201.452117
-20.0,1075,1218.520049
-19.0,1052,1237.126312
-19.0,998,1252.39189
-17.0,1153,1271.86449
-16.0,1364,1294.93448
-18.0,1191,1314.167925
-19.0,1300,1335.71307
-18.0,1362,1358.901379
-14.0,1493,1384.165891
-21.0,1150,1403.36465
-19.0,1276,1424.871813
-21.0,1226,1444.675341
-20.0,1228,1465.614164
-13.0,1835,1496.019548
-15.0,1579,1522.072031
-19.0,1379,1545.194143
-19.0,1273,1566.668907
-14.0,1628,1594.02317
-9.0,2161,1630.080265
-8.0,2120,1665.020948
-19.0,1374,1688.588927
-19.0,1447,1712.028329
-21.0,1353,1734.967828
-7.0,2246,1771.709616
-2.0,2564,1814.116922
-17.0,1591,1841.477245
-5.0,2421,1881.713109
-5.0,2298,1920.200131
-5.0,2342,1958.458124
-3.0,2645,2002.966378
-7.0,2243,2039.925251
-20.0,1362,2062.762599
-18.0,1419,2085.798093
-16.0,1604,2111.730679
-14.0,1748,2140.975951
-9.0,2056,2174.788115
-11.0,1872,2206.587272
-9.0,2200,2242.870226
-11.0,1844,2272.994105
-6.0,2242,2311.035468
-14.0,1660,2339.014307
-9.0,2153,2373.699389
-7.0,2485,2416.309738
-11.0,2006,2449.235939
-11.0,1930,2480.874635
-13.0,1964,2514.139785
-9.0,2113,2548.379531
-8.0,2345,2588.978791
-7.0,2412,2627.349317
-9.0,2291,2665.599842
-6.0,2590,2709.471572
-10.0,2062,2744.044765
6.0,2552,2786.662736
-12.0,2058,2820.746579
-12.0,1845,2850.789833
-6.0,2438,2890.871553
-8.0,2186,2926.787638
-7.0,2210,2962.839513
-3.0,2581,3007.230546
3.0,2594,3049.395535
-13.0,1635,3077.03838
7.0,2430,3115.780747
5.0,2493,3157.735975
-11.0,2022,3191.551097
-11.0,1932,3223.230617
-7.0,2391,3262.280461
4.0,2563,3305.240442
-9.0,2101,3340.838856
-6.0,2411,3380.930415
2.0,2707,3425.381715
-12.0,1899,3456.675318
-2.0,2764,3501.880308
5.0,2672,3545.878008
-5.0,2506,3587.958386
2.0,2786,3633.313716
-9.0,2307,3672.15834
-9.0,2212,3709.823934
-9.0,2315,3747.948924
-8.0,2510,3789.259647
-5.0,2593,3833.310485
-5.0,2803,3878.302062
1.0,3052,3929.023409
3.0,2734,3976.859697
4.0,2611,4019.382558
-8.0,2288,4057.656554
-12.0,2003,4091.601952
-12.0,2033,4123.684994
