EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
478.9,478.9,2,1146,253.8918719291687,383690,0.0,0.57397944,0.1257317066192627,0.0006718682,0.004562923,0.004562923
466.65,466.65,3,1149,254.41995882987976,384700,0.0,0.55523145,0.017992675304412842,0.00083946064,0.006062934,0.006062934
466.65,466.65,2,1151,255.00009417533875,385700,0.0,0.5699773,0.10926419496536255,0.0012959125,0.00398539,0.00398539
475.7,475.7,2,1153,255.57330441474915,386700,0.0,0.56773573,0.10395848751068115,0.0009787277,0.0025408932,0.0025408932
473.85,473.85,2,1155,256.1401753425598,387626,0.0,0.5534563,-0.019115090370178223,0.0006359227,0.005362643,0.005362643
473.85,473.85,2,1157,256.6970384120941,388626,0.0,0.57879096,0.10043138265609741,0.00088283746,0.0016232613,0.0016232613
473.85,473.85,3,1160,257.28616666793823,390126,0.0,0.5818261,0.19035041332244873,0.00089188915,0.003168535,0.003168535
462.675,462.675,2,1162,257.85967564582825,390679,0.0,0.56341386,-0.14860963821411133,0.0007367091,0.0065660113,0.0065660113
454.65,454.65,3,1165,258.4267678260803,391858,0.0,0.5502888,0.07564109563827515,0.00064291817,0.0030062466,0.0030062466
454.65,454.65,2,1167,258.98875069618225,392858,0.0,0.55232584,0.15756654739379883,0.0010330831,0.0052928864,0.0052928864
454.65,454.65,2,1169,259.57242488861084,393858,0.0,0.5431036,0.09155154228210449,0.0006701284,0.0054507703,0.0054507703
454.65,454.65,2,1171,260.167991399765,394858,0.0,0.5592818,0.1029895544052124,0.000746138,0.0036535363,0.0036535363
466.7,466.7,2,1173,260.75658917427063,395858,0.0,0.5689757,0.09119069576263428,0.0010206571,0.0034350122,0.0034350122
466.7,466.7,2,1175,261.34629106521606,396858,0.0,0.5963794,0.12363380193710327,0.0009909316,0.0025787072,0.0025787072
466.7,466.7,2,1177,261.9482865333557,397858,0.0,0.5675201,0.030625104904174805,0.0006066894,0.0025339392,0.0025339392
466.7,466.7,3,1180,262.5305235385895,399358,0.0,0.5703864,0.10061478614807129,0.0008174174,0.0031988986,0.0031988986
466.7,466.7,2,1182,263.138635635376,400358,0.0,0.58518434,0.13156414031982422,0.0008207197,0.0024727492,0.0024727492
466.7,466.7,2,1184,263.7143542766571,401358,0.0,0.5788151,0.12125253677368164,0.0008403827,0.0031541025,0.0031541025
466.7,466.7,2,1186,264.2915325164795,402358,0.0,0.5765952,0.11644166707992554,0.00074772554,0.0038421405,0.0038421405
466.7,466.7,2,1188,264.85858392715454,403358,0.0,0.5822829,0.11550593376159668,0.0007529382,0.0029211089,0.0029211089
478.95,478.95,2,1190,265.4588224887848,404358,0.0,0.57901514,0.04920661449432373,0.0005182333,0.0034057568,0.0034057568
478.95,478.95,2,1192,266.0077214241028,405358,0.0,0.5812213,0.04662966728210449,0.00068885455,0.0030643987,0.0030643987
479.95,479.95,2,1194,266.60496854782104,406324,0.0,0.57481337,0.1415887475013733,0.0006833787,0.0035825525,0.0035825525
479.95,479.95,2,1196,267.1878478527069,407324,0.0,0.5903477,0.13473129272460938,0.00093663466,0.002644854,0.002644854
479.95,479.95,2,1198,267.75020718574524,408324,0.0,0.59416735,0.11253196001052856,0.000988672,0.0030642566,0.0030642566
479.95,479.95,2,1200,268.31728291511536,409324,0.0,0.57664376,0.1233445405960083,0.0008163308,0.0028262953,0.0028262953
486.175,486.175,2,1202,268.8715431690216,410126,0.0,0.5859584,0.11902523040771484,0.00047949213,0.0052504838,0.0052504838
494.2,494.2,3,1205,269.47838044166565,411626,0.0,0.6066521,0.13174349069595337,0.00091501756,0.003994654,0.003994654
494.025,494.025,2,1207,270.05571365356445,412619,0.0,0.57958555,0.006784677505493164,0.0006459313,0.002964383,0.002964383
494.025,494.025,2,1209,270.64199686050415,413619,0.0,0.5683928,0.07941979169845581,0.00059503445,0.003352971,0.003352971
494.025,494.025,2,1211,271.26439809799194,414619,0.0,0.58291566,-0.014575362205505371,0.00087352947,0.0029247394,0.0029247394
494.025,494.025,2,1213,271.87639713287354,415619,0.0,0.5734962,0.07615512609481812,0.00076418347,0.00259398,0.00259398
494.025,494.025,2,1215,272.48397850990295,416619,0.0,0.5773422,0.07341855764389038,0.00082645775,0.0027864366,0.0027864366
494.025,494.025,2,1217,273.05293679237366,417619,0.0,0.58036983,0.09557318687438965,0.0008853297,0.004092353,0.004092353
494.025,494.025,2,1219,273.6213057041168,418619,0.0,0.5925732,0.12871873378753662,0.0008513116,0.0030976236,0.0030976236
483.6,483.6,3,1222,274.2296235561371,419702,0.0,0.5727093,-0.056961655616760254,0.0009755143,0.004882893,0.004882893
483.6,483.6,2,1224,274.8825490474701,420702,0.0,0.55552435,0.06684088706970215,0.0007713388,0.003185527,0.003185527
461.65,461.65,4,1228,275.47525453567505,421824,0.0,0.5710938,-0.0016078948974609375,0.0008733887,0.0047339513,0.0047339513
461.65,461.65,2,1230,276.0255444049835,422824,0.0,0.5969104,0.04288607835769653,0.00094455807,0.002539481,0.002539481
