# {"t_start": 1553040454.0211222, "env_id": "CartPole-v1"} 
r,l,t
81.0,81,10.60168
30.0,30,10.623239
16.0,16,10.636252
48.0,48,10.675557
54.0,54,10.711819
118.0,118,10.803712
186.0,186,11.084883
211.0,211,11.236314
189.0,189,11.379347
85.0,85,11.447716
59.0,59,11.490048
84.0,84,11.550139
38.0,38,11.579151
12.0,12,11.587901
48.0,48,11.623657
190.0,190,11.771068
76.0,76,11.840036
49.0,49,12.046232
151.0,151,12.161579
188.0,188,12.299193
78.0,78,12.357643
174.0,174,12.510994
197.0,197,12.679744
59.0,59,12.724059
46.0,46,12.760515
343.0,343,13.207314
294.0,294,13.420832
28.0,28,13.441097
171.0,171,13.565036
300.0,300,13.871477
214.0,214,13.97744
192.0,192,14.070656
146.0,146,14.150787
168.0,168,14.232371
125.0,125,14.298965
27.0,27,14.311576
160.0,160,14.492543
131.0,131,14.558872
37.0,37,14.57666
132.0,132,14.641982
63.0,63,14.673384
105.0,105,14.724878
132.0,132,14.792299
200.0,200,14.890383
190.0,190,14.987029
191.0,191,15.195004
195.0,195,15.305432
59.0,59,15.341181
166.0,166,15.443399
183.0,183,15.540593
181.0,181,15.629875
95.0,95,15.778856
129.0,129,15.848337
164.0,164,15.938625
254.0,254,16.063822
221.0,221,16.189368
171.0,171,16.287676
301.0,301,16.574082
187.0,187,16.665711
230.0,230,16.782135
169.0,169,16.882114
420.0,420,17.228549
208.0,208,17.343575
145.0,145,17.433669
282.0,282,17.57934
149.0,149,17.655334
118.0,118,17.819499
225.0,225,17.93225
206.0,206,18.018419
283.0,283,18.140108
261.0,261,18.363072
162.0,162,18.443732
225.0,225,18.550402
315.0,315,18.692516
224.0,224,18.79153
165.0,165,18.97556
241.0,241,19.085123
212.0,212,19.183223
218.0,218,19.287077
110.0,110,19.339932
234.0,234,19.544526
175.0,175,19.627608
140.0,140,19.696115
174.0,174,19.778165
339.0,339,19.938361
373.0,373,20.224561
500.0,500,20.464383
463.0,463,20.792367
303.0,303,20.934053
393.0,393,21.125389
472.0,472,21.468102
434.0,434,21.680808
159.0,159,21.753387
231.0,231,21.993069
289.0,289,22.147967
256.0,256,22.293341
354.0,354,22.615919
324.0,324,22.790989
216.0,216,22.908119
500.0,500,23.271435
179.0,179,23.364427
202.0,202,23.472201
500.0,500,23.715225
447.0,447,24.051077
155.0,155,24.134147
406.0,406,24.339941
418.0,418,24.688431
165.0,165,24.774765
174.0,174,24.855654
374.0,374,25.171983
365.0,365,25.3854
500.0,500,25.63781
500.0,500,25.97056
500.0,500,26.21721
500.0,500,26.568211
164.0,164,26.645653
319.0,319,26.800707
500.0,500,27.156377
500.0,500,27.406438
500.0,500,27.763234
500.0,500,28.027399
500.0,500,28.384474
500.0,500,28.620887
500.0,500,28.964327
500.0,500,29.222676
500.0,500,29.574319
500.0,500,29.795955
363.0,363,30.061185
391.0,391,30.2504
230.0,230,30.371367
303.0,303,30.568304
449.0,449,30.903757
500.0,500,31.153094
500.0,500,31.526613
500.0,500,31.79441
244.0,244,32.047607
208.0,208,32.181561
429.0,429,32.416651
196.0,196,32.508538
139.0,139,32.674991
305.0,305,32.839482
288.0,288,32.986655
500.0,500,33.341035
184.0,184,33.438933
500.0,500,33.710881
309.0,309,34.081576
229.0,229,34.284104
500.0,500,34.750301
500.0,500,35.418513
500.0,500,35.912241
500.0,500,36.610844
455.0,455,37.075334
500.0,500,37.758838
458.0,458,38.121834
500.0,500,38.650702
223.0,223,38.823968
500.0,500,39.215454
500.0,500,39.782772
131.0,131,39.896819
268.0,268,40.105207
500.0,500,40.638825
215.0,215,40.805429
128.0,128,40.896744
187.0,187,41.032705
110.0,110,41.116974
500.0,500,41.673913
371.0,371,41.879536
500.0,500,42.232502
500.0,500,42.490617
489.0,489,42.84352
500.0,500,43.10212
500.0,500,43.466815
252.0,252,43.601114
500.0,500,43.884136
500.0,500,44.239006
397.0,397,44.440547
500.0,500,44.791136
364.0,364,44.969231
